window,k,skew,cool,round,day,sample_type,profit
200,1.0,1.0,300,3,2,IS,1938
200,1.0,1.0,300,4,1,OOS,2119
200,1.0,1.0,300,4,2,OOS,1938
200,1.0,1.0,300,4,3,OOS,568
200,1.0,1.0,300,5,2,OOS,1938
200,1.0,1.0,300,5,3,OOS,568
200,1.0,1.0,300,5,4,OOS,3470
100,2.0,0.5,100,1,-2,IS,2599
100,2.0,0.5,100,1,-1,IS,799
100,2.0,0.5,100,1,0,IS,996
100,2.0,0.5,100,2,-1,IS,799
100,2.0,0.5,100,2,0,IS,996
100,2.0,0.5,100,2,1,IS,2326
100,2.0,0.5,100,3,0,IS,996
100,2.0,0.5,100,3,1,IS,2326
100,2.0,0.5,100,3,2,IS,944
100,2.0,0.5,100,4,1,OOS,2326
100,2.0,0.5,100,4,2,OOS,944
100,2.0,0.5,100,4,3,OOS,400
100,2.0,0.5,100,5,2,OOS,944
100,2.0,0.5,100,5,3,OOS,400
100,2.0,0.5,100,5,4,OOS,1245
30,1.0,0.5,100,1,-2,IS,5400
30,1.0,0.5,100,1,-1,IS,1727
30,1.0,0.5,100,1,0,IS,1566
30,1.0,0.5,100,2,-1,IS,1727
30,1.0,0.5,100,2,0,IS,1566
30,1.0,0.5,100,2,1,IS,4581
30,1.0,0.5,100,3,0,IS,1566
30,1.0,0.5,100,3,1,IS,4581
30,1.0,0.5,100,3,2,IS,1951
30,1.0,0.5,100,4,1,OOS,4581
30,1.0,0.5,100,4,2,OOS,1951
30,1.0,0.5,100,4,3,OOS,508
30,1.0,0.5,100,5,2,OOS,1951
30,1.0,0.5,100,5,3,OOS,508
30,1.0,0.5,100,5,4,OOS,3001
100,1.0,1.0,500,1,-2,IS,2380
100,1.0,1.0,500,1,-1,IS,628
100,1.0,1.0,500,1,0,IS,1017
100,1.0,1.0,500,2,-1,IS,628
100,1.0,1.0,500,2,0,IS,1017
100,1.0,1.0,500,2,1,IS,1788
100,1.0,1.0,500,3,0,IS,1017
100,1.0,1.0,500,3,1,IS,1788
100,1.0,1.0,500,3,2,IS,482
100,1.0,1.0,500,4,1,OOS,1788
100,1.0,1.0,500,4,2,OOS,482
100,1.0,1.0,500,4,3,OOS,1239
100,1.0,1.0,500,5,2,OOS,482
100,1.0,1.0,500,5,3,OOS,1239
100,1.0,1.0,500,5,4,OOS,202
10,2.5,1.2,700,1,-2,IS,53
10,2.5,1.2,700,1,-1,IS,25
10,2.5,1.2,700,1,0,IS,24
10,2.5,1.2,700,2,-1,IS,25
10,2.5,1.2,700,2,0,IS,24
10,2.5,1.2,700,2,1,IS,8
10,2.5,1.2,700,3,0,IS,24
10,2.5,1.2,700,3,1,IS,8
10,2.5,1.2,700,3,2,IS,-4
10,2.5,1.2,700,4,1,OOS,8
10,2.5,1.2,700,4,2,OOS,-4
10,2.5,1.2,700,4,3,OOS,31
10,2.5,1.2,700,5,2,OOS,-4
10,2.5,1.2,700,5,3,OOS,31
10,2.5,1.2,700,5,4,OOS,0
200,2.5,1.0,1000,1,-2,IS,78
200,2.5,1.0,1000,1,-1,IS,51
200,2.5,1.0,1000,1,0,IS,92
200,2.5,1.0,1000,2,-1,IS,51
200,2.5,1.0,1000,2,0,IS,92
200,2.5,1.0,1000,2,1,IS,365
200,2.5,1.0,1000,3,0,IS,92
200,2.5,1.0,1000,3,1,IS,365
200,2.5,1.0,1000,3,2,IS,294
200,2.5,1.0,1000,4,1,OOS,365
200,2.5,1.0,1000,4,2,OOS,294
200,2.5,1.0,1000,4,3,OOS,73
200,2.5,1.0,1000,5,2,OOS,294
200,2.5,1.0,1000,5,3,OOS,73
200,2.5,1.0,1000,5,4,OOS,118
100,1.5,0.5,1000,1,-2,IS,1083
100,1.5,0.5,1000,1,-1,IS,-168
100,1.5,0.5,1000,1,0,IS,218
100,1.5,0.5,1000,2,-1,IS,-168
100,1.5,0.5,1000,2,0,IS,218
100,1.5,0.5,1000,2,1,IS,1
100,1.5,0.5,1000,3,0,IS,218
100,1.5,0.5,1000,3,1,IS,1
100,1.5,0.5,1000,3,2,IS,517
100,1.5,0.5,1000,4,1,OOS,1
100,1.5,0.5,1000,4,2,OOS,517
100,1.5,0.5,1000,4,3,OOS,233
100,1.5,0.5,1000,5,2,OOS,517
100,1.5,0.5,1000,5,3,OOS,233
100,1.5,0.5,1000,5,4,OOS,140
50,3.0,1.5,1000,1,-2,IS,279
50,3.0,1.5,1000,1,-1,IS,-25
50,3.0,1.5,1000,1,0,IS,-7
50,3.0,1.5,1000,2,-1,IS,-25
50,3.0,1.5,1000,2,0,IS,-7
50,3.0,1.5,1000,2,1,IS,44
50,3.0,1.5,1000,3,0,IS,-7
50,3.0,1.5,1000,3,1,IS,44
50,3.0,1.5,1000,3,2,IS,-218
50,3.0,1.5,1000,4,1,OOS,44
50,3.0,1.5,1000,4,2,OOS,-218
50,3.0,1.5,1000,4,3,OOS,20
50,3.0,1.5,1000,5,2,OOS,-218
50,3.0,1.5,1000,5,3,OOS,20
50,3.0,1.5,1000,5,4,OOS,-19
200,2.0,0.8,300,1,-2,IS,1448
200,2.0,0.8,300,1,-1,IS,3
200,2.0,0.8,300,1,0,IS,574
200,2.0,0.8,300,2,-1,IS,3
200,2.0,0.8,300,2,0,IS,574
200,2.0,0.8,300,2,1,IS,938
200,2.0,0.8,300,3,0,IS,574
200,2.0,0.8,300,3,1,IS,938
200,2.0,0.8,300,3,2,IS,1702
200,2.0,0.8,300,4,1,OOS,938
200,2.0,0.8,300,4,2,OOS,1702
200,2.0,0.8,300,4,3,OOS,89
200,2.0,0.8,300,5,2,OOS,1702
200,2.0,0.8,300,5,3,OOS,89
200,2.0,0.8,300,5,4,OOS,945
30,1.0,0.8,1000,1,-2,IS,153
30,1.0,0.8,1000,1,-1,IS,218
30,1.0,0.8,1000,1,0,IS,128
30,1.0,0.8,1000,2,-1,IS,218
30,1.0,0.8,1000,2,0,IS,128
30,1.0,0.8,1000,2,1,IS,587
30,1.0,0.8,1000,3,0,IS,128
30,1.0,0.8,1000,3,1,IS,587
30,1.0,0.8,1000,3,2,IS,485
30,1.0,0.8,1000,4,1,OOS,587
30,1.0,0.8,1000,4,2,OOS,485
30,1.0,0.8,1000,4,3,OOS,265
30,1.0,0.8,1000,5,2,OOS,485
30,1.0,0.8,1000,5,3,OOS,265
30,1.0,0.8,1000,5,4,OOS,-61
30,1.0,1.5,100,1,-2,IS,3447
